Titulo;Origem;Destino;Atualizacao;Descricao;Rota_1;Rota2
PORTO ALEGRE x PELOTAS;PORTO ALEGRE;PELOTAS;10/05/2024 10:22;LINK 01 VIA 040 118 116 240 MONTENEGRO ENCRUZILHADA SO SUL CANGUÇU / LINK 02 VIA 116, 290 - TRECHOS CRÍTICOS, APENAS PARA VEICULOS EMERGENCIAIS;https://www.google.com/maps/d/u/0/viewer?mid=1Krq05nAW7a0icb1phPMwLIGhB-Q_GM8&ll=-30.705948406811196%2C-51.81608500000001&z=8;https://www.google.com/maps/d/u/0/viewer?mid=16P3aWl81Xc7YJ3dSp363_ZGXQIGyKls&ll=-29.603612764934507%2C-53.94320263173926&z=7
CAXIAS DO SUL x TORRES;CAXIAS DO SUL;TORRES;10/05/2024 09:32;CAXIAS DO SUL, LAJEADO GRANDE, GRAMADO, TAQUARA, SANTO ANTONIO DA PATRULHA, OSÓRIO E TORRES;https://www.google.com/maps/d/u/0/viewer?mid=1z-3WN9Hxi0Pxg_GnODVvoXPqt0On2zA&ll=-29.481899466083053%2C-50.45482965&z=9;---
CAXIAS DO SUL x ANTONIO PRADO;CAXIAS DO SUL;ANTONIO PRADO;10/05/2024 09:20;VIA ERS 122 TRANSITO LIVRE;https://www.google.com/maps/d/u/0/viewer?mid=1vRo2M0b2E6nd1Q6MgsL0RubGCeDdSV8&ll=-29.00773401334039%2C-51.22648545&z=11;---
